type,key,category,group,pattern,result,ingredients,ingredient,experience,cookingtime,input,material,addition,template,base,show_notification
minecraft:crafting_shaped,@{#=minecraft:cobblestone; R=minecraft:redstone},redstone,,"[""###"",""# #"",""#R#""]",@{count=1; id=minecraft:dropper},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:diamond; C=minecraft:sandstone; S=minecraft:dune_armor_trim_smithing_template},misc,,"[""#S#"",""#C#"",""###""]",@{count=2; id=minecraft:dune_armor_trim_smithing_template},,,,,,,,,,
minecraft:smithing_trim,,,,minecraft:dune,,,,,,,,#minecraft:trim_materials,minecraft:dune_armor_trim_smithing_template,#minecraft:trimmable_armor,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:black_bed},"[""minecraft:black_dye"",{""value"":[""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:black_carpet},"[""minecraft:black_dye"",{""value"":[""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:black_harness},"[""minecraft:black_dye"",{""value"":[""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:black_wool},"[""minecraft:black_dye"",{""value"":[""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:blue_bed},"[""minecraft:blue_dye"",{""value"":[""minecraft:black_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:blue_carpet},"[""minecraft:blue_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:blue_harness},"[""minecraft:blue_dye"",{""value"":[""minecraft:black_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:blue_wool},"[""minecraft:blue_dye"",{""value"":[""minecraft:black_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:brown_bed},"[""minecraft:brown_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:brown_carpet},"[""minecraft:brown_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:brown_harness},"[""minecraft:brown_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:brown_wool},"[""minecraft:brown_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:cyan_bed},"[""minecraft:cyan_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:cyan_carpet},"[""minecraft:cyan_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:cyan_harness},"[""minecraft:cyan_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:cyan_wool},"[""minecraft:cyan_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:gray_bed},"[""minecraft:gray_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:gray_carpet},"[""minecraft:gray_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:gray_harness},"[""minecraft:gray_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:gray_wool},"[""minecraft:gray_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:green_bed},"[""minecraft:green_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:green_carpet},"[""minecraft:green_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:green_harness},"[""minecraft:green_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:green_wool},"[""minecraft:green_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:light_blue_bed},"[""minecraft:light_blue_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:light_blue_carpet},"[""minecraft:light_blue_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:light_blue_harness},"[""minecraft:light_blue_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:light_blue_wool},"[""minecraft:light_blue_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:light_gray_bed},"[""minecraft:light_gray_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:light_gray_carpet},"[""minecraft:light_gray_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:light_gray_harness},"[""minecraft:light_gray_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:light_gray_wool},"[""minecraft:light_gray_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:lime_bed},"[""minecraft:lime_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:lime_carpet},"[""minecraft:lime_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:lime_harness},"[""minecraft:lime_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:lime_wool},"[""minecraft:lime_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:magenta_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:magenta_bed},"[""minecraft:magenta_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:orange_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:magenta_carpet},"[""minecraft:magenta_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:orange_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:magenta_harness},"[""minecraft:magenta_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:orange_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:magenta_wool},"[""minecraft:magenta_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:orange_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:orange_bed},"[""minecraft:orange_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:pink_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:orange_carpet},"[""minecraft:orange_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:pink_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:orange_harness},"[""minecraft:orange_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:pink_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,building,wool,,@{count=1; id=minecraft:orange_wool},"[""minecraft:orange_dye"",{""value"":[""minecraft:black_wool"",""minecraft:blue_wool"",""minecraft:brown_wool"",""minecraft:cyan_wool"",""minecraft:gray_wool"",""minecraft:green_wool"",""minecraft:light_blue_wool"",""minecraft:light_gray_wool"",""minecraft:lime_wool"",""minecraft:magenta_wool"",""minecraft:pink_wool"",""minecraft:purple_wool"",""minecraft:red_wool"",""minecraft:yellow_wool"",""minecraft:white_wool""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,bed_dye,,@{count=1; id=minecraft:pink_bed},"[""minecraft:pink_dye"",{""value"":[""minecraft:black_bed"",""minecraft:blue_bed"",""minecraft:brown_bed"",""minecraft:cyan_bed"",""minecraft:gray_bed"",""minecraft:green_bed"",""minecraft:light_blue_bed"",""minecraft:light_gray_bed"",""minecraft:lime_bed"",""minecraft:magenta_bed"",""minecraft:orange_bed"",""minecraft:purple_bed"",""minecraft:red_bed"",""minecraft:yellow_bed"",""minecraft:white_bed""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,misc,carpet_dye,,@{count=1; id=minecraft:pink_carpet},"[""minecraft:pink_dye"",{""value"":[""minecraft:black_carpet"",""minecraft:blue_carpet"",""minecraft:brown_carpet"",""minecraft:cyan_carpet"",""minecraft:gray_carpet"",""minecraft:green_carpet"",""minecraft:light_blue_carpet"",""minecraft:light_gray_carpet"",""minecraft:lime_carpet"",""minecraft:magenta_carpet"",""minecraft:orange_carpet"",""minecraft:purple_carpet"",""minecraft:red_carpet"",""minecraft:yellow_carpet"",""minecraft:white_carpet""],""Count"":15}]",,,,,,,,,
minecraft:crafting_shapeless,,equipment,harness_dye,,@{count=1; id=minecraft:pink_harness},"[""minecraft:pink_dye"",{""value"":[""minecraft:black_harness"",""minecraft:blue_harness"",""minecraft:brown_harness"",""minecraft:cyan_harness"",""minecraft:gray_harness"",""minecraft:green_harness"",""minecraft:light_blue_harness"",""minecraft:light_gray_harness"",""minecraft:lime_harness"",""minecraft:magenta_harness"",""minecraft:orange_harness"",""minecraft:purple_harness"",""minecraft:red_harness"",""minecraft:yellow_harness"",""minecraft:white_harness""],""Count"":15}]",,,,,,,,,
